X Y	IV BETA SE P
A1BG bald12 8 -0.001 0.013 0.94
AAMDC bald12 23 0.013 0.005 0.0045
ABHD14B bald12 5 -0.01 0.018 0.58
ABO bald12 29 -0.002 0.005 0.68
ACAA1 bald12 3 0.012 0.048 0.8
ACADSB bald12 4 -0.021 0.027 0.43
ACAN bald12 6 0.059 0.031 0.057
ACE bald12 9 0 0.012 0.98
ACHE bald12 16 0.01 0.011 0.33
ACOT13 bald12 3 -0.014 0.041 0.73
ACP1 bald12 9 -0.009 0.024 0.72
ACP5 bald12 13 -0.03 0.009 0.0011
ACP6 bald12 52 -0.004 0.005 0.47
ACRBP bald12 4 0.031 0.027 0.25
ACVRL1 bald12 8 -0.002 0.012 0.83
ACY1 bald12 5 -0.002 0.019 0.9
ACY3 bald12 10 0.026 0.025 0.3
ACYP1 bald12 6 -0.053 0.033 0.12
ADA2 bald12 16 -0.034 0.019 0.073
ADA bald12 36 -0.008 0.006 0.23
ADAM12 bald12 7 0.033 0.035 0.34
ADAM15 bald12 38 -0.008 0.004 0.068
ADAM22 bald12 30 -0.017 0.006 0.0072
ADAM23 bald12 43 -0.002 0.003 0.52
ADAM8 bald12 28 0.002 0.008 0.8
ADAM9 bald12 8 -0.013 0.03 0.65
ADAMTS13 bald12 19 0.004 0.011 0.72
ADAMTS15 bald12 3 -0.04 0.038 0.29
ADAMTS16 bald12 11 -0.038 0.026 0.14
ADAMTS8 bald12 13 -0.021 0.014 0.13
ADAMTSL2 bald12 6 -0.013 0.048 0.79
ADAMTSL4 bald12 10 0.02 0.016 0.2
ADAMTSL5 bald12 15 -0.005 0.005 0.34
ADGRB3 bald12 104 -0.007 0.005 0.14
ADGRD1 bald12 28 0.004 0.009 0.66
ADGRE1 bald12 14 0.002 0.013 0.9
ADGRE5 bald12 11 -0.024 0.03 0.43
ADGRG1 bald12 8 -0.034 0.032 0.28
ADH1B bald12 7 0.037 0.028 0.2
ADIPOQ bald12 10 -0.016 0.013 0.22
ADM bald12 4 0.022 0.026 0.41
AFAP1 bald12 57 0.007 0.007 0.28
AFM bald12 6 -0.027 0.035 0.45
AFP bald12 7 0.012 0.025 0.62
AGER bald12 6 -0.011 0.024 0.65
AGRN bald12 30 0.014 0.013 0.29
AGRP bald12 4 0.014 0.095 0.88
AGT bald12 13 0 0.011 0.97
AGXT bald12 7 0 0.018 0.99
AHCY bald12 7 -0.006 0.028 0.82
AHNAK2 bald12 12 -0.004 0.019 0.85
AHNAK bald12 3 -0.011 0.027 0.69
AHSG bald12 21 0.005 0.008 0.5
AIF1 bald12 5 0.027 0.027 0.33
AIF1L bald12 7 0.032 0.023 0.17
AKR1B1 bald12 3 -0.046 0.032 0.15
AKR7L bald12 9 0.015 0.018 0.4
ALCAM bald12 7 -0.01 0.021 0.63
ALDH1A1 bald12 4 -0.02 0.079 0.8
ALDH3A1 bald12 14 0.011 0.01 0.3
ALDH5A1 bald12 5 0.011 0.033 0.74
ALPP bald12 23 0.006 0.006 0.38
AMBP bald12 4 0.011 0.023 0.64
AMIGO2 bald12 7 0.037 0.039 0.35
AMN bald12 35 0.003 0.014 0.84
AMPD3 bald12 10 -0.012 0.01 0.26
AMY2A bald12 36 -0.003 0.012 0.83
AMY2B bald12 30 0.01 0.014 0.48
ANG bald12 13 -0.001 0.008 0.91
ANGPT1 bald12 3 -0.026 0.094 0.78
ANGPT2 bald12 6 -0.017 0.024 0.5
ANGPTL1 bald12 17 0.015 0.014 0.28
ANGPTL3 bald12 7 -0.016 0.041 0.69
ANGPTL4 bald12 10 -0.004 0.008 0.58
ANGPTL7 bald12 9 -0.012 0.011 0.29
ANPEP bald12 21 0.017 0.01 0.11
ANXA2 bald12 14 0.012 0.01 0.22
ANXA3 bald12 4 -0.043 0.036 0.23
ANXA5 bald12 3 -0.031 0.041 0.45
AOC1 bald12 5 -0.008 0.015 0.58
AOC3 bald12 18 -0.004 0.01 0.66
AP1G2 bald12 6 -0.024 0.02 0.24
APBB1IP bald12 4 -0.044 0.087 0.61
APCS bald12 6 0.007 0.021 0.74
APEX1 bald12 5 -0.009 0.012 0.44
APOA1 bald12 4 0.148 0.081 0.069
APOA4 bald12 4 0.083 0.072 0.25
APOBR bald12 79 0.004 0.004 0.34
APOC1 bald12 6 -0.027 0.035 0.44
APOD bald12 12 -0.013 0.023 0.56
APOE bald12 35 -0.016 0.012 0.18
APOF bald12 4 -0.032 0.048 0.51
APOH bald12 22 -0.002 0.007 0.83
APOL1 bald12 6 -0.025 0.023 0.26
APOM bald12 7 0.005 0.021 0.81
APPL2 bald12 3 0.015 0.029 0.6
APRT bald12 6 -0.038 0.044 0.39
AREG bald12 4 0.048 0.054 0.37
ARG1 bald12 6 0.008 0.018 0.68
ARHGEF10 bald12 20 0.005 0.012 0.65
ARHGEF5 bald12 16 -0.009 0.008 0.25
ARL2BP bald12 3 -0.018 0.016 0.29
ARSA bald12 23 0.001 0.008 0.93
ARSB bald12 12 0.006 0.014 0.65
ART3 bald12 13 -0.006 0.02 0.77
ART5 bald12 3 0.037 0.024 0.12
ASAH1 bald12 13 -0.004 0.047 0.92
ASAH2 bald12 28 -0.011 0.005 0.053
ASGR1 bald12 3 -0.001 0.027 0.96
ASGR2 bald12 9 -0.018 0.014 0.18
ASPN bald12 9 0.012 0.017 0.5
ASPSCR1 bald12 4 0.015 0.041 0.72
ASRGL1 bald12 8 -0.014 0.012 0.25
ATRAID bald12 8 -0.019 0.014 0.19
ATRN bald12 29 -0.002 0.011 0.84
ATXN3 bald12 6 0.017 0.011 0.13
AXL bald12 9 -0.012 0.018 0.51
AZU1 bald12 7 -0.003 0.029 0.92
B3GNT7 bald12 24 0.013 0.009 0.13
B4GALT1 bald12 7 0.002 0.024 0.92
B4GAT1 bald12 7 0.007 0.015 0.62
BAIAP2 bald12 3 -0.029 0.06 0.63
BANK1 bald12 5 -0.05 0.224 0.82
BCAM bald12 8 0.001 0.016 0.94
BCAN bald12 4 0.008 0.02 0.69
BCAT1 bald12 19 0.002 0.011 0.87
BCHE bald12 37 0.008 0.01 0.44
BCL2L15 bald12 4 0.006 0.028 0.83
BLMH bald12 24 -0.03 0.008 0.00029
BLNK bald12 3 0.063 0.077 0.42
BLVRB bald12 4 -0.014 0.017 0.42
BMP10 bald12 9 0.001 0.01 0.93
BMP6 bald12 6 0.076 0.051 0.14
BMPER bald12 11 0.026 0.022 0.24
BOC bald12 11 0.007 0.015 0.63
BPIFA2 bald12 6 0.005 0.061 0.94
BPIFB1 bald12 22 -0.008 0.014 0.58
BPIFB2 bald12 11 -0.029 0.011 0.0078
BRSK2 bald12 19 -0.02 0.013 0.12
BSG bald12 4 -0.003 0.043 0.94
BST1 bald12 55 0.004 0.003 0.16
BST2 bald12 7 -0.009 0.034 0.8
BTC bald12 12 -0.001 0.01 0.92
BTD bald12 29 -0.006 0.009 0.49
BTN1A1 bald12 6 -0.025 0.022 0.26
BTN2A1 bald12 14 0 0.013 0.98
BTN3A2 bald12 21 -0.004 0.007 0.5
C19orf12 bald12 4 -0.002 0.059 0.97
C1QA bald12 11 -0.011 0.012 0.37
C1QL2 bald12 9 0.008 0.015 0.58
C1QTNF1 bald12 6 0.012 0.015 0.39
C1QTNF9 bald12 53 0.012 0.003 5e-05
C1R bald12 7 0.023 0.039 0.56
C1RL bald12 12 0 0.018 0.99
C1S bald12 6 0.002 0.011 0.88
C2 bald12 17 -0.01 0.013 0.43
C4BPB bald12 7 -0.015 0.015 0.34
C5 bald12 4 -0.028 0.033 0.39
C7 bald12 34 -0.006 0.008 0.48
C7orf50 bald12 13 0.01 0.013 0.44
C8B bald12 17 -0.01 0.007 0.18
C9 bald12 8 0.005 0.024 0.83
CA12 bald12 11 -0.016 0.014 0.24
CA13 bald12 5 -0.066 0.018 0.00033
CA14 bald12 10 0.015 0.015 0.33
CA1 bald12 3 0.035 0.038 0.36
CA2 bald12 4 0.102 0.074 0.17
CA3 bald12 8 0.06 0.034 0.078
CA4 bald12 9 -0.02 0.013 0.11
CA5A bald12 25 0.023 0.007 0.00063
CA6 bald12 30 -0.003 0.011 0.77
CA9 bald12 5 -0.033 0.044 0.46
CACNB3 bald12 3 -0.011 0.043 0.81
CALCA bald12 5 -0.017 0.043 0.7
CALCB bald12 7 -0.018 0.04 0.66
CAMKK1 bald12 4 -0.009 0.043 0.84
CANT1 bald12 6 -0.009 0.022 0.67
CAPG bald12 37 0.008 0.006 0.18
CAPS bald12 8 0.026 0.027 0.34
CARHSP1 bald12 3 0.017 0.049 0.73
CASP10 bald12 5 0.001 0.02 0.94
CASP3 bald12 3 -0.029 0.037 0.44
CASP7 bald12 4 -0.051 0.028 0.07
CASP8 bald12 4 0.019 0.025 0.44
CAT bald12 6 0.006 0.017 0.72
CBLN4 bald12 12 -0.017 0.035 0.64
CBS bald12 3 0.013 0.038 0.73
CC2D1A bald12 4 -0.056 0.04 0.16
CCER2 bald12 3 -0.067 0.033 0.038
CCL11 bald12 4 0.081 0.039 0.041
CCL13 bald12 12 0.008 0.017 0.62
CCL14 bald12 12 -0.003 0.024 0.89
CCL15 bald12 24 0.003 0.008 0.73
CCL16 bald12 31 0.012 0.014 0.39
CCL17 bald12 7 -0.014 0.018 0.44
CCL18 bald12 13 -0.013 0.019 0.48
CCL21 bald12 3 -0.017 0.039 0.66
CCL22 bald12 6 -0.002 0.029 0.95
CCL23 bald12 17 0.001 0.009 0.88
CCL24 bald12 60 -0.007 0.005 0.19
CCL25 bald12 33 0.001 0.004 0.89
CCL26 bald12 7 0.006 0.022 0.77
CCL27 bald12 3 0.003 0.019 0.88
CCL3 bald12 18 0.001 0.012 0.9
CCL4 bald12 15 0.005 0.011 0.65
CCL5 bald12 3 0.012 0.026 0.64
CCL7 bald12 4 -0.112 0.033 6e-04
CCL8 bald12 46 0.002 0.01 0.82
CCN2 bald12 6 0.009 0.026 0.74
CCN3 bald12 8 -0.004 0.017 0.8
CCN4 bald12 23 -0.019 0.007 0.0036
CCN5 bald12 12 0 0.011 0.98
CCS bald12 13 -0.004 0.006 0.55
CD101 bald12 36 -0.004 0.005 0.48
CD109 bald12 55 0.004 0.006 0.49
CD14 bald12 6 -0.027 0.014 0.054
CD160 bald12 13 -0.008 0.011 0.45
CD163 bald12 6 0.003 0.051 0.95
CD164L2 bald12 8 -0.015 0.014 0.28
CD177 bald12 85 0.001 0.005 0.83
CD1C bald12 11 0.026 0.024 0.29
CD200 bald12 9 0.006 0.023 0.81
CD200R1 bald12 32 -0.002 0.008 0.81
CD207 bald12 20 -0.006 0.02 0.78
CD209 bald12 17 -0.011 0.015 0.45
CD226 bald12 5 0 0.103 1
CD22 bald12 5 -0.02 0.038 0.6
CD244 bald12 16 0.015 0.014 0.28
CD274 bald12 14 0.008 0.029 0.77
CD276 bald12 29 -0.001 0.015 0.95
CD27 bald12 13 0.006 0.036 0.88
CD2AP bald12 5 0.024 0.04 0.55
CD300A bald12 10 0.03 0.013 0.015
CD300C bald12 17 0.013 0.02 0.52
CD300E bald12 15 -0.012 0.01 0.24
CD300LF bald12 45 -0.009 0.005 0.092
CD300LG bald12 10 -0.013 0.011 0.23
CD302 bald12 10 0.02 0.03 0.49
CD33 bald12 79 -0.001 0.004 0.87
CD34 bald12 4 -0.022 0.041 0.6
CD36 bald12 8 0.001 0.02 0.95
CD38 bald12 12 0.052 0.034 0.12
CD40 bald12 8 0.006 0.016 0.7
CD46 bald12 3 0.028 0.034 0.41
CD48 bald12 15 -0.003 0.007 0.64
CD4 bald12 5 0.024 0.013 0.059
CD55 bald12 9 0.01 0.028 0.73
CD58 bald12 7 0.018 0.037 0.62
CD59 bald12 5 -0.053 0.018 0.0034
CD5 bald12 11 0.013 0.023 0.58
CD5L bald12 7 -0.018 0.019 0.34
CD6 bald12 12 -0.009 0.008 0.28
CD70 bald12 40 -0.001 0.008 0.92
CD72 bald12 5 0.019 0.06 0.75
CD7 bald12 15 0.023 0.01 0.025
CD80 bald12 14 0.005 0.014 0.71
CD83 bald12 5 -0.004 0.03 0.9
CD86 bald12 12 -0.02 0.026 0.44
CD8A bald12 9 0.017 0.023 0.44
CDA bald12 22 -0.026 0.033 0.43
CDC37 bald12 5 0.23 0.251 0.36
CDCP1 bald12 13 0.017 0.016 0.3
CDH15 bald12 24 0.012 0.011 0.27
CDH17 bald12 13 0.01 0.012 0.4
CDH2 bald12 3 -0.08 0.033 0.015
CDH3 bald12 3 0.01 0.03 0.73
CDH6 bald12 21 0.002 0.011 0.88
CDHR1 bald12 11 0.012 0.009 0.2
CDHR2 bald12 4 -0.006 0.038 0.87
CDHR5 bald12 40 -0.003 0.008 0.75
CDNF bald12 6 -0.008 0.017 0.66
CDON bald12 9 -0.054 0.039 0.17
CDSN bald12 44 0 0.004 0.94
CEACAM16 bald12 17 -0.004 0.01 0.71
CEACAM19 bald12 5 0.024 0.057 0.67
CEACAM1 bald12 9 0.019 0.022 0.39
CEACAM20 bald12 7 0.034 0.032 0.3
CEACAM21 bald12 27 -0.001 0.006 0.82
CEACAM5 bald12 11 0.003 0.011 0.8
CELA2A bald12 4 0.018 0.025 0.48
CELA3A bald12 12 -0.004 0.018 0.83
