strain	seq_tech	virus	Genotype	accession	date	region	country	province	city
hChikV/Madagascar/AMU-00002/2006|EPI_ISL_17454872	Sanger	hChikV	II-ECSA	EPI_ISL_17454872	2006-07-01	Africa	Madagascar	unknown	unknown
hChikV/France/un-AMU-00008/2017|EPI_ISL_17454873	IonTorrent	hChikV	II-ECSA	EPI_ISL_17454873	2017-09-12	Europe	France	unknown	unknown
hChikV/France/un-AMU-00001/2006|EPI_ISL_17454874	Sanger	hChikV	II-ECSA	EPI_ISL_17454874	2006-07-01	Europe	France	unknown	unknown
hChikV/Italy/un-AMU-00005/2007|EPI_ISL_17454875	Sanger	hChikV	II-ECSA	EPI_ISL_17454875	2007-07-01	Europe	Italy	unknown	unknown
hChikV/Italy/un-AMU-00004/2007|EPI_ISL_17454876	Sanger	hChikV	II-ECSA	EPI_ISL_17454876	2007-07-01	Europe	Italy	unknown	unknown
hChikV/Mayotte/AMU-00003/2006|EPI_ISL_17454877	Sanger	hChikV	II-ECSA	EPI_ISL_17454877	2006-07-01	Africa	Mayotte	unknown	unknown
hChikV/Gabon/AMU-00006/2007|EPI_ISL_17454878	Sanger	hChikV	II-ECSA	EPI_ISL_17454878	2007-07-01	Africa	Gabon	unknown	unknown
hChikV/un/AMU-00007/2011|EPI_ISL_17454879	Sanger	hChikV	II-ECSA	EPI_ISL_17454879	2011-07-01	unknown	unknown	unknown	unknown
hChikV/China/BJ-BIME-00002/2010|EPI_ISL_17454968	Sanger	hChikV	II-ECSA	EPI_ISL_17454968	2010-07-01	Asia	China	Beijing	unknown
hChikV/India/un-BVDU-1474/2016|EPI_ISL_17455007	IonTorrent	hChikV	II-ECSA	EPI_ISL_17455007	2016-07-01	Asia	India	unknown	unknown
hChikV/Brazil/un-IMB-38ccf2a8/2015|EPI_ISL_17455026	Illumina	hChikV	II-ECSA	EPI_ISL_17455026	2015-07-01	South America	Brazil	unknown	unknown
hChikV/Tanzania/IMB-1b941621/1953|EPI_ISL_17455027	Illumina	hChikV	II-ECSA	EPI_ISL_17455027	1953-07-01	Africa	Tanzania	unknown	unknown
hChikV/Indonesia/BIM-H130003/2013|EPI_ISL_17455028	Sanger	hChikV	III-Asian	EPI_ISL_17455028	2013-01-15	Asia	Indonesia	Bali	unknown
hChikV/China/YN-CDCST-GD134/2010|EPI_ISL_17455031	unknown	hChikV	II-ECSA	EPI_ISL_17455031	2010-10-15	Asia	China	Yunnan	unknown
hChikV/China/YN-CDCST-GD115/2010|EPI_ISL_17455032	unknown	hChikV	II-ECSA	EPI_ISL_17455032	2010-10-15	Asia	China	Yunnan	unknown
hChikV/China/YN-CDCST-19RL51/2019|EPI_ISL_17455033	Sanger	hChikV	II-ECSA	EPI_ISL_17455033	2019-10-12	Asia	China	Yunnan	unknown
hChikV/China/YN-CDCST-19RL50/2019|EPI_ISL_17455037	Sanger	hChikV	II-ECSA	EPI_ISL_17455037	2019-10-12	Asia	China	Yunnan	unknown
hChikV/China/YN-CDCST-19RL05/2019|EPI_ISL_17455049	Sanger	hChikV	II-ECSA	EPI_ISL_17455049	2019-09-28	Asia	China	Yunnan	unknown
hChikV/China/YN-CDCST-GD139/2010|EPI_ISL_17455064	unknown	hChikV	II-ECSA	EPI_ISL_17455064	2010-10-15	Asia	China	Yunnan	unknown
hChikV/China/YN-CDCST-GD113/2010|EPI_ISL_17455065	unknown	hChikV	II-ECSA	EPI_ISL_17455065	2010-10-15	Asia	China	Yunnan	unknown
hChikV/Thailand/CU-BK1764/2019|EPI_ISL_17455103	Sanger	hChikV	II-ECSA	EPI_ISL_17455103	2019-11-07	Asia	Thailand	unknown	unknown
hChikV/Thailand/CU-BK1156/2019|EPI_ISL_17455150	Sanger	hChikV	II-ECSA	EPI_ISL_17455150	2019-08-12	Asia	Thailand	unknown	unknown
hChikV/Thailand/CU-BK809/2018|EPI_ISL_17455335	Sanger	hChikV	II-ECSA	EPI_ISL_17455335	2018-08-24	Asia	Thailand	unknown	unknown
hChikV/Thailand/CU-BK1278/2019|EPI_ISL_17455375	Sanger	hChikV	II-ECSA	EPI_ISL_17455375	2019-08-30	Asia	Thailand	unknown	unknown
hChikV/Saint Barthelemy/CDC-00047/2014|EPI_ISL_17455459	IonTorrent	hChikV	III-Asian	EPI_ISL_17455459	2014-06-15	North America	Saint Barthelemy	unknown	unknown
hChikV/U.S. Virgin Islands/CDC-00030/2014|EPI_ISL_17455465	IonTorrent	hChikV	III-Asian	EPI_ISL_17455465	2014-09-15	North America	U.S. Virgin Islands	unknown	unknown
hChikV/American Samoa/CDC-00043/2014|EPI_ISL_17455476	IonTorrent	hChikV	III-Asian	EPI_ISL_17455476	2014-07-01	Oceania	American Samoa	unknown	unknown
hChikV/U.S. Virgin Islands/CDC-00044/2014|EPI_ISL_17455477	IonTorrent	hChikV	III-Asian	EPI_ISL_17455477	2014-07-15	North America	U.S. Virgin Islands	unknown	unknown
hChikV/U.S. Virgin Islands/CDC-00032/2014|EPI_ISL_17455480	IonTorrent	hChikV	III-Asian	EPI_ISL_17455480	2014-08-15	North America	U.S. Virgin Islands	unknown	unknown
hChikV/England/CEPR-00001/2006|EPI_ISL_17455499	unknown	hChikV	II-ECSA	EPI_ISL_17455499	2006-07-01	Europe	United Kingdom	England	unknown
hChikV/Sri Lanka/CEPR-R233/2006|EPI_ISL_17455501	Sanger	hChikV	II-ECSA	EPI_ISL_17455501	2006-11-14	Asia	Sri Lanka	unknown	unknown
