Index,Name,ICD-10 Chapter,ICD-10 Chapter (short),Colour,"AUC Female, (no gap)","AUC Male, (no gap)","AUC Female, (1 year gap)","AUC Male, (1 year gap)","N tokens, training","N tokens, validation"
0,Padding,Technical,Technical,#2a52be,,,,,0,0
1,Healthy,Technical,Technical,#2a52be,,,,,0,0
2,Female,Sex,Sex,#bcbd22,,,,,218608,54768
3,Male,Sex,Sex,#bcbd22,,,,,183444,45670
4,BMI low,"Smoking, Alcohol and BMI","Smoking, Alcohol and BMI",#9467bd,,,,,37912,9493
5,BMI mid,"Smoking, Alcohol and BMI","Smoking, Alcohol and BMI",#9467bd,,,,,206718,51769
6,BMI high,"Smoking, Alcohol and BMI","Smoking, Alcohol and BMI",#9467bd,,,,,154955,38539
7,Smoking low,"Smoking, Alcohol and BMI","Smoking, Alcohol and BMI",#9467bd,,,,,358649,89545
8,Smoking mid,"Smoking, Alcohol and BMI","Smoking, Alcohol and BMI",#9467bd,,,,,11013,2721
9,Smoking high,"Smoking, Alcohol and BMI","Smoking, Alcohol and BMI",#9467bd,,,,,31346,7897
10,Alcohol low,"Smoking, Alcohol and BMI","Smoking, Alcohol and BMI",#9467bd,,,,,123582,30917
11,Alcohol mid,"Smoking, Alcohol and BMI","Smoking, Alcohol and BMI",#9467bd,,,,,195659,49063
12,Alcohol high,"Smoking, Alcohol and BMI","Smoking, Alcohol and BMI",#9467bd,,,,,81611,20157
13,A00 Cholera,I. Certain infectious and parasitic diseases,I. Infectious Diseases,#98df8a,,0.783596080903105,,0.837248256248963,22,4
14,A01 Typhoid and paratyphoid fevers,I. Certain infectious and parasitic diseases,I. Infectious Diseases,#98df8a,0.99373856083229,0.93412781483597,0.993766718201674,0.791911763979428,119,21
15,A02 Other salmonella infections,I. Certain infectious and parasitic diseases,I. Infectious Diseases,#98df8a,0.771249964999558,0.783397255252087,0.74455426126755,0.635965296381581,620,164
16,A03 Shigellosis,I. Certain infectious and parasitic diseases,I. Infectious Diseases,#98df8a,0.642002325834537,0.637154953345282,0.4674107199935,0.807969352885986,169,42
17,A04 Other bacterial intestinal infections,I. Certain infectious and parasitic diseases,I. Infectious Diseases,#98df8a,0.731898590899743,0.74983494189777,0.682966830081887,0.677825630525337,6491,1546
18,A05 Other bacterial foodborne intoxications,I. Certain infectious and parasitic diseases,I. Infectious Diseases,#98df8a,0.756430068721447,0.748425898851417,0.741716711863319,0.7474504646235,305,89
19,A06 Amoebiasis,I. Certain infectious and parasitic diseases,I. Infectious Diseases,#98df8a,0.850503213099722,0.643073792815651,0.724108397353236,0.485596007034448,98,20
20,A07 Other protozoal intestinal diseases,I. Certain infectious and parasitic diseases,I. Infectious Diseases,#98df8a,0.561777075418778,0.637886519292458,0.52710462499116,0.590597895458806,401,96
21,A08 Viral and other specified intestinal infections,I. Certain infectious and parasitic diseases,I. Infectious Diseases,#98df8a,0.790309622318136,0.787470865789985,0.7506184982128,0.758880534032145,4384,1059
22,A09 Diarrhoea and gastro-enteritis of presumed infectious origin,I. Certain infectious and parasitic diseases,I. Infectious Diseases,#98df8a,0.77208469663958,0.777630008819424,0.734692107233106,0.730095811181972,17286,4336
23,"A15 Respiratory tuberculosis, bacteriologically and histologically confirmed",I. Certain infectious and parasitic diseases,I. Infectious Diseases,#98df8a,0.707269263824432,0.798864302767302,0.646356438603331,0.648182146751805,2176,509
24,"A16 Respiratory tuberculosis, not confirmed bacteriologically or histologically",I. Certain infectious and parasitic diseases,I. Infectious Diseases,#98df8a,0.677692937594825,0.819299061863895,0.53124196715132,0.694896081389778,528,133
25,A17 Tuberculosis of nervous system,I. Certain infectious and parasitic diseases,I. Infectious Diseases,#98df8a,0.24854074226038,0.518015290597013,0.315295400738878,0.646925548124608,13,9
26,A18 Tuberculosis of other organs,I. Certain infectious and parasitic diseases,I. Infectious Diseases,#98df8a,0.665022600469381,0.851624754726064,0.622954879458361,0.666213207906913,156,36
27,A19 Miliary tuberculosis,I. Certain infectious and parasitic diseases,I. Infectious Diseases,#98df8a,0.810923120882362,0.686207318558071,0.730445701739736,0.389345220044777,16,9
28,A20 Plague,I. Certain infectious and parasitic diseases,I. Infectious Diseases,#98df8a,0.492292245001392,,0.328825830076638,,6,2
29,A22 Anthrax,I. Certain infectious and parasitic diseases,I. Infectious Diseases,#98df8a,,,,,2,0
30,A23 Brucellosis,I. Certain infectious and parasitic diseases,I. Infectious Diseases,#98df8a,0.713040547048059,,0.660442634213367,,27,6
31,A24 Glanders and melioidosis,I. Certain infectious and parasitic diseases,I. Infectious Diseases,#98df8a,,,,,1,0
32,A25 Rat-bite fevers,I. Certain infectious and parasitic diseases,I. Infectious Diseases,#98df8a,,,,,2,1
33,A26 Erysipeloid,I. Certain infectious and parasitic diseases,I. Infectious Diseases,#98df8a,,,,,11,2
34,A27 Leptospirosis,I. Certain infectious and parasitic diseases,I. Infectious Diseases,#98df8a,0.655548207733735,0.718029652276755,0.773097508146135,0.670955036125715,25,10
35,"A28 Other zoonotic bacterial diseases, not elsewhere classified",I. Certain infectious and parasitic diseases,I. Infectious Diseases,#98df8a,0.572341913161953,0.523377932692472,0.48823114471898,0.42935753709951,45,14
36,A30 Leprosy [hansen's disease],I. Certain infectious and parasitic diseases,I. Infectious Diseases,#98df8a,,,,,2,1
37,A31 Infection due to other mycobacteria,I. Certain infectious and parasitic diseases,I. Infectious Diseases,#98df8a,0.887759207405479,0.78755384191813,0.795703819380288,0.794034679593448,107,36
38,A32 Listeriosis,I. Certain infectious and parasitic diseases,I. Infectious Diseases,#98df8a,,0.915851951731273,,0.986061410596791,20,2
39,A33 Tetanus neonatorum,I. Certain infectious and parasitic diseases,I. Infectious Diseases,#98df8a,,,,,1,0
40,A35 Other tetanus,I. Certain infectious and parasitic diseases,I. Infectious Diseases,#98df8a,0.728347747932928,0.579780998282812,0.756708876241433,0.253952443768503,98,21
41,A36 Diphtheria,I. Certain infectious and parasitic diseases,I. Infectious Diseases,#98df8a,0.756622794735368,0.641313296779381,0.802474579788338,0.544874211380085,118,24
42,A37 Whooping cough,I. Certain infectious and parasitic diseases,I. Infectious Diseases,#98df8a,0.744893673645512,0.656379246032181,0.790604712459404,0.660067579011305,1676,463
43,A38 Scarlet fever,I. Certain infectious and parasitic diseases,I. Infectious Diseases,#98df8a,0.966526256669475,0.439658637642621,0.969740078835838,0.663192433893071,1060,266
44,A39 Meningococcal infection,I. Certain infectious and parasitic diseases,I. Infectious Diseases,#98df8a,0.446229603654208,0.692966397689518,0.467340531489033,0.515391986708068,85,27
45,A40 Streptococcal septicaemia,I. Certain infectious and parasitic diseases,I. Infectious Diseases,#98df8a,0.772634486454884,0.808963915648738,0.6348949942656,0.684542827019607,575,139
46,A41 Other septicaemia,I. Certain infectious and parasitic diseases,I. Infectious Diseases,#98df8a,0.823902183719709,0.82622365115696,0.690797647925914,0.712379980573546,10621,2707
47,A42 Actinomycosis,I. Certain infectious and parasitic diseases,I. Infectious Diseases,#98df8a,0.797160003028077,0.825162335187117,0.756326715969568,0.772775445374677,171,47
48,A43 Nocardiosis,I. Certain infectious and parasitic diseases,I. Infectious Diseases,#98df8a,,,,,2,1
49,A44 Bartonellosis,I. Certain infectious and parasitic diseases,I. Infectious Diseases,#98df8a,,,,,1,0
50,A46 Erysipelas,I. Certain infectious and parasitic diseases,I. Infectious Diseases,#98df8a,0.655429756942748,0.654970176128758,0.609814510067249,0.575925155525677,255,61
51,"A48 Other bacterial diseases, not elsewhere classified",I. Certain infectious and parasitic diseases,I. Infectious Diseases,#98df8a,0.805472714420297,0.783673125191992,0.794076655066491,0.623653931021432,175,25
52,A49 Bacterial infection of unspecified site,I. Certain infectious and parasitic diseases,I. Infectious Diseases,#98df8a,0.807886298307745,0.791900184788963,0.699442949924311,0.685527172154585,1887,464
53,A50 Congenital syphilis,I. Certain infectious and parasitic diseases,I. Infectious Diseases,#98df8a,,,,,8,0
54,A51 Early syphilis,I. Certain infectious and parasitic diseases,I. Infectious Diseases,#98df8a,,0.812643914676967,,0.57830105463137,15,5
55,A52 Late syphilis,I. Certain infectious and parasitic diseases,I. Infectious Diseases,#98df8a,0.994488090784387,0.980177806490667,0.998418049792531,0.531469467887622,17,4
56,A53 Other and unspecified syphilis,I. Certain infectious and parasitic diseases,I. Infectious Diseases,#98df8a,,0.989000432750282,,0.786122574615948,24,5
57,A54 Gonococcal infection,I. Certain infectious and parasitic diseases,I. Infectious Diseases,#98df8a,0.944936891800752,0.543000714166063,0.953755522827688,0.451135406410537,223,59
58,A55 Chlamydial lymphogranuloma venereum,I. Certain infectious and parasitic diseases,I. Infectious Diseases,#98df8a,,,,,4,0
59,A56 Other sexually transmitted chlamydial diseases,I. Certain infectious and parasitic diseases,I. Infectious Diseases,#98df8a,0.72246501088562,,0.582694550473193,,66,18
60,A58 Granuloma inguinale,I. Certain infectious and parasitic diseases,I. Infectious Diseases,#98df8a,,,,,1,1
61,A59 Trichomoniasis,I. Certain infectious and parasitic diseases,I. Infectious Diseases,#98df8a,0.704238773318515,0.007838014369693,0.853634048372967,,76,14
62,A60 Anogenital herpesviral [herpes simplex] infections,I. Certain infectious and parasitic diseases,I. Infectious Diseases,#98df8a,0.851393059045161,0.861133546312442,0.82429888214076,0.866778412579777,352,95
63,"A63 Other predominantly sexually transmitted diseases, not elsewhere classified",I. Certain infectious and parasitic diseases,I. Infectious Diseases,#98df8a,0.729145903768838,0.769915439461498,0.726808268776216,0.757000658932621,1441,400
64,A64 Unspecified sexually transmitted disease,I. Certain infectious and parasitic diseases,I. Infectious Diseases,#98df8a,,,,,3,0
65,A66 Yaws,I. Certain infectious and parasitic diseases,I. Infectious Diseases,#98df8a,0.731526628272457,0.411074088592709,0.672043987824341,0.405799523670246,15,7
66,A67 Pinta [carate],I. Certain infectious and parasitic diseases,I. Infectious Diseases,#98df8a,,,,,6,0
67,A68 Relapsing fevers,I. Certain infectious and parasitic diseases,I. Infectious Diseases,#98df8a,,,,,1,1
68,A69 Other spirochaetal infections,I. Certain infectious and parasitic diseases,I. Infectious Diseases,#98df8a,0.665378429438644,0.643510814802803,0.560192661079343,0.603127657445555,246,65
69,A70 Chlamydia psittaci infection,I. Certain infectious and parasitic diseases,I. Infectious Diseases,#98df8a,,0.496376689119539,,0.566215286811931,27,4
70,A71 Trachoma,I. Certain infectious and parasitic diseases,I. Infectious Diseases,#98df8a,0.956926223375069,,0.980964236624394,,31,4
71,A74 Other diseases caused by chlamydiae,I. Certain infectious and parasitic diseases,I. Infectious Diseases,#98df8a,0.627718890348378,0.976662622586652,0.623018405370629,0.991315924838876,21,11
72,A75 Typhus fever,I. Certain infectious and parasitic diseases,I. Infectious Diseases,#98df8a,,,,,5,0
73,A77 Spotted fever [tick-borne rickettsioses],I. Certain infectious and parasitic diseases,I. Infectious Diseases,#98df8a,,,,,21,0
74,A78 Q fever,I. Certain infectious and parasitic diseases,I. Infectious Diseases,#98df8a,,,,,10,0
75,A79 Other rickettsioses,I. Certain infectious and parasitic diseases,I. Infectious Diseases,#98df8a,,,,,2,0
76,A80 Acute poliomyelitis,I. Certain infectious and parasitic diseases,I. Infectious Diseases,#98df8a,0.955474809668178,0.995005130341671,0.962173415373221,0.996461728701989,412,88
77,A81 Atypical virus infections of central nervous system,I. Certain infectious and parasitic diseases,I. Infectious Diseases,#98df8a,0.646008512665002,0.610060049661451,0.548145672379507,0.387276365146357,49,8
78,A82 Rabies,I. Certain infectious and parasitic diseases,I. Infectious Diseases,#98df8a,,0.923115916063354,,0.963269427409678,16,2
